,ds,y
480,2019-04-26,293532962
481,2019-04-27,287907307
482,2019-04-28,300856191
483,2019-04-29,294763594
484,2019-04-30,289238397
485,2019-05-01,291029845
486,2019-05-02,288006244
487,2019-05-03,279216829
488,2019-05-04,273965951
489,2019-05-05,289856849
490,2019-05-06,297018844
491,2019-05-07,285208172
492,2019-05-08,295103126
493,2019-05-09,283456178
494,2019-05-10,278651924
495,2019-05-11,281156132
496,2019-05-12,293989961
497,2019-05-13,297011582
498,2019-05-14,290965537
499,2019-05-15,280154867
500,2019-05-16,280223192
501,2019-05-17,276378539
502,2019-05-18,272859659
503,2019-05-19,285642820
504,2019-05-20,291501601
505,2019-05-21,287030691
506,2019-05-22,286066414
507,2019-05-23,295444190
508,2019-05-24,278447460
509,2019-05-25,269231241
510,2019-05-26,288214072
511,2019-05-27,296777669
512,2019-05-28,299298508
513,2019-05-29,291825175
514,2019-05-30,286939625
515,2019-05-31,279827001
516,2019-06-01,268802915
517,2019-06-02,283588870
518,2019-06-03,285136573
519,2019-06-04,280805702
520,2019-06-05,277119706
521,2019-06-06,276540657
522,2019-06-07,281148162
523,2019-06-08,278195207
524,2019-06-09,290128907
525,2019-06-10,300350780
526,2019-06-11,292585502
527,2019-06-12,293180071
528,2019-06-13,290957222
529,2019-06-14,284747956
530,2019-06-15,277904384
531,2019-06-16,292518778
532,2019-06-17,296458295
533,2019-06-18,287553122
534,2019-06-19,278398832
535,2019-06-20,281028561
536,2019-06-21,276166640
537,2019-06-22,274478514
538,2019-06-23,286247001
539,2019-06-24,294929499
540,2019-06-25,286802023
541,2019-06-26,280863534
542,2019-06-27,267893200
543,2019-06-28,269447649
544,2019-06-29,259617123
545,2019-06-30,280716105
546,2019-07-01,289991471
547,2019-07-02,288148886
548,2019-07-03,288506864
549,2019-07-04,284596552
550,2019-07-05,275979764
551,2019-07-06,281046920
552,2019-07-07,308881380
553,2019-07-08,308201269
554,2019-07-09,305383389
555,2019-07-10,299827244
556,2019-07-11,294019473
557,2019-07-12,287811265
558,2019-07-13,284865348
559,2019-07-14,300406076
560,2019-07-15,294902705
561,2019-07-16,288788619
562,2019-07-17,287658913
563,2019-07-18,288444794
564,2019-07-19,286326182
565,2019-07-20,283904055
566,2019-07-21,304200492
567,2019-07-22,300961395
568,2019-07-23,293352760
569,2019-07-24,294932589
570,2019-07-25,290429816
571,2019-07-26,277553900
572,2019-07-27,284540418
573,2019-07-28,298187059
574,2019-07-29,295534539
575,2019-07-30,298753413
576,2019-07-31,284975776
577,2019-08-01,276975620
578,2019-08-02,273520770
579,2019-08-03,270679170
580,2019-08-04,286529333
581,2019-08-05,297866167
582,2019-08-06,294668447
583,2019-08-07,290071182
584,2019-08-08,285756621
585,2019-08-09,280926162
586,2019-08-10,277408267
587,2019-08-11,290613285
588,2019-08-12,289025563
589,2019-08-13,287489981
590,2019-08-14,281284736
591,2019-08-15,278096083
592,2019-08-16,283268223
593,2019-08-17,288860413
594,2019-08-18,309818374
595,2019-08-19,300959491
596,2019-08-20,293619467
597,2019-08-21,295312099
598,2019-08-22,296025362
599,2019-08-23,289204023
600,2019-08-24,284394693
601,2019-08-25,296815326
602,2019-08-26,299333762
603,2019-08-27,298759710
604,2019-08-28,296449239
605,2019-08-29,294834069
606,2019-08-30,286361686
607,2019-08-31,285246298
608,2019-09-01,296548832
609,2019-09-02,298902066
610,2019-09-03,297544907
611,2019-09-04,287036811
612,2019-09-05,285827792
613,2019-09-06,271992026
614,2019-09-07,274355652
615,2019-09-08,300033073
616,2019-09-09,298998995
617,2019-09-10,290758350
618,2019-09-11,292414890
619,2019-09-12,291735837
620,2019-09-13,286102444
621,2019-09-14,279027012
622,2019-09-15,296296404
623,2019-09-16,303506933
624,2019-09-17,299786995
625,2019-09-18,301553744
626,2019-09-19,294479616
627,2019-09-20,290954026
628,2019-09-21,287035184
629,2019-09-22,310504420
630,2019-09-23,316327149
631,2019-09-24,304960205
632,2019-09-25,307357159
633,2019-09-26,297037745
634,2019-09-27,293091260
635,2019-09-28,292389952
636,2019-09-29,307833203
637,2019-09-30,306411979
638,2019-10-01,302818715
639,2019-10-02,302666184
640,2019-10-03,302269646
641,2019-10-04,299155503
642,2019-10-05,296664530
643,2019-10-06,308765682
644,2019-10-07,311888963
645,2019-10-08,310729874
646,2019-10-09,306374044
647,2019-10-10,310260265
648,2019-10-11,309968451
649,2019-10-12,306438430
650,2019-10-13,325304770
651,2019-10-14,331352342
652,2019-10-15,326818059
653,2019-10-16,341898107
654,2019-10-17,312829274
655,2019-10-18,307511209
656,2019-10-19,297483886
657,2019-10-20,317181674
658,2019-10-21,329649722
659,2019-10-22,330464705
660,2019-10-23,310493936
661,2019-10-24,304584901
662,2019-10-25,286742586
663,2019-10-26,283510291
664,2019-10-27,292956882
665,2019-10-28,309251344
666,2019-10-29,292450295
667,2019-10-30,296731999
668,2019-10-31,304835472
669,2019-11-01,300591661
670,2019-11-02,299561467
671,2019-11-03,311948968
672,2019-11-04,320014368
673,2019-11-05,311421633
674,2019-11-06,301649576
675,2019-11-07,305465343
676,2019-11-08,299197111
677,2019-11-09,296475357
678,2019-11-10,305987406
679,2019-11-11,320408583
680,2019-11-12,327904948
681,2019-11-13,321958970
682,2019-11-14,312676538
683,2019-11-15,299620332
684,2019-11-16,296282247
685,2019-11-17,315037556
686,2019-11-18,314104544
687,2019-11-19,321095614
688,2019-11-20,318927930
689,2019-11-21,302992815
690,2019-11-22,299095167
691,2019-11-23,296011146
692,2019-11-24,323789877
693,2019-11-25,333915692
694,2019-11-26,308759714
695,2019-11-27,301057402
696,2019-11-28,294147011
697,2019-11-29,290003114
698,2019-11-30,301478838
699,2019-12-01,318451733
700,2019-12-02,310129265
701,2019-12-03,317285266
702,2019-12-04,311102117
703,2019-12-05,300014209
704,2019-12-06,290645719
705,2019-12-07,293641577
706,2019-12-08,309244196
707,2019-12-09,317219599
708,2019-12-10,306071509
709,2019-12-11,315019913
710,2019-12-12,297251931
711,2019-12-13,294513879
712,2019-12-14,295495321
713,2019-12-15,311943450
714,2019-12-16,312705415
715,2019-12-17,328855629
716,2019-12-18,331853139
717,2019-12-19,305998607
718,2019-12-20,290614823
719,2019-12-21,289387001
720,2019-12-22,303268686
721,2019-12-23,299175680
722,2019-12-24,284880430
723,2019-12-25,281333834
724,2019-12-26,290633895
725,2019-12-27,296547310
726,2019-12-28,298960227
727,2019-12-29,309414913
728,2019-12-30,321844883
729,2019-12-31,287639064
730,2020-01-01,301607319
731,2020-01-02,317180685
732,2020-01-03,317132360
733,2020-01-04,317763166
734,2020-01-05,336518174
735,2020-01-06,339156212
736,2020-01-07,326393482
737,2020-01-08,314370583
738,2020-01-09,314445982
739,2020-01-10,316619346
740,2020-01-11,315780645
741,2020-01-12,332584291
742,2020-01-13,333259609
743,2020-01-14,330552462
744,2020-01-15,320695660
745,2020-01-16,320678334
746,2020-01-17,309863416
747,2020-01-18,306078279
748,2020-01-19,330162376
749,2020-01-20,334430580
750,2020-01-21,317784272
751,2020-01-22,317090826
752,2020-01-23,312337635
753,2020-01-24,309102373
754,2020-01-25,305867025
755,2020-01-26,323337725
756,2020-01-27,338737556
757,2020-01-28,321380281
758,2020-01-29,309700994
759,2020-01-30,307379686
760,2020-01-31,297766535
761,2020-02-01,291398979
762,2020-02-02,310768149
763,2020-02-03,319710638
764,2020-02-04,311981999
765,2020-02-05,318619483
766,2020-02-06,312004552
767,2020-02-07,303515886
768,2020-02-08,323249419
769,2020-02-09,326460121
770,2020-02-10,339969953
771,2020-02-11,314033484
772,2020-02-12,310624271
773,2020-02-13,305075023
774,2020-02-14,300335647
775,2020-02-15,305581585
